URL	Device	INP	CLS	LCP	Date
advocatechannel.com	desktop	94.0	90.92090790920908	80.17	2025-03-09
advocatechannel.com	mobile	85.13	81.86	88.95110488951104	2025-03-09
austin.culturemap.com	desktop	97.84	91.0991099109911	85.16	2025-03-09
austin.culturemap.com	mobile	93.9	98.99	86.67866786678668	2025-03-09
bestlifeonline.com	desktop	83.25	77.15	92.31	2025-03-09
bestlifeonline.com	mobile	83.45834583458345	89.03890389038904	93.46	2025-03-09
bestlocalthings.com	desktop	91.14	82.77	90.58	2025-03-09
bestlocalthings.com	mobile	89.86000000000001	85.21	92.53	2025-03-09
ca.billboard.com	desktop	95.47	94.62	92.37	2025-03-09
ca.billboard.com	mobile	93.32	91.13	90.16	2025-03-09
conversations.indy100.com	desktop	95.33	86.24000000000001	96.79	2025-03-09
conversations.indy100.com	mobile	90.77	96.35	92.980701929807	2025-03-09
coveteur.com	desktop	93.29067093290672	88.84	90.95	2025-03-09
coveteur.com	mobile	87.16000000000001	80.67999999999999	82.98	2025-03-09
dallas.culturemap.com	desktop	97.26	90.59	85.8	2025-03-09
dallas.culturemap.com	mobile	92.4	99.14	86.38	2025-03-09
divine.health	desktop				2025-03-09
divine.health	mobile				2025-03-09
dot.la	desktop	96.97	86.77	93.44	2025-03-09
dot.la	mobile	89.44	88.64999999999999	88.35	2025-03-09
energycapitalhtx.com	desktop	97.06	77.48225177482253	37.07629237076292	2025-03-09
energycapitalhtx.com	mobile	96.02960296029605	72.72000000000001	92.83928392839285	2025-03-09
fortworth.culturemap.com	desktop	98.18	92.4007599240076	85.63	2025-03-09
fortworth.culturemap.com	mobile	89.92999999999999	98.05	84.72	2025-03-09
gaingels.com	desktop	96.97	94.87	95.82958295829584	2025-03-09
gaingels.com	mobile	93.64	94.17058294170582	96.39	2025-03-09
guides.brit.co	desktop	86.55000000000001	95.36	93.48	2025-03-09
guides.brit.co	mobile	87.28	93.32	90.68	2025-03-09
hamuesgyemant.hu	desktop	92.42	95.98000000000002	94.71	2025-03-09
hamuesgyemant.hu	mobile	85.26	81.65183481651835	90.67	2025-03-09
heatmap.news	desktop	97.27	92.67926792679268	92.67926792679268	2025-03-09
